obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 3.9, 323822, 68195, 34413, 28204, 11249, 22402, 9500, 8339, NA, NA, NA, 506124,  X*
2, 4.9, 539154, 140293, 89614, 10324, 30660, 49081, 18763, 10474, NA, NA, NA, 888363,  X*
3, 5.9, 2342051, 1012790, 29527, 85358, 102555, 81212, 12020, 11953, NA, NA, NA, 3677466,  X*
4, 7.0, 129790, 88120, 4383, 10703, 5479, 6645, 2826, 5813, 30, 37, NA, 253759,  X*
5, 7.9, 1211453, 173028, 7533, 9430, 11699, 21605, 8961, 3898, 35, 26, NA, 1447607,  X*
6, 8.9, 1741793, 27822, 17298, 24762, 8143, 13089, 8508, 3421, 48, 43, NA, 1844836,  X*
7, 9.9, 1514272, 56149, 201098, 210614, 20629, 21163, 7126, 11294, 34, 66, NA, 2042345,  X*
8, 10.9, 156692, 35102, 12975, 4263, 7115, 6226, 2558, 1113, 47, 74, NA, 226044,  X*
9, 11.9, 17846, 970, 4317, 4466, 1730, 1592, 1801, 529, 53, 97, NA, 33251,  X*
10, 12.9, 202734, 24943, 752, 2095, 1894, 1638, 1043, 495, 30, 74, NA, 235594,  X*
11, 15.0, 412531, 102311, 84196, 30149, 185961, 63742, 5069, 9243, 69, 50, NA, 893202,  X*
12, 15.9, 859238, 78290, 2575, 2865, 7617, 6797, 3318, 1621, 60, 34, NA, 962321,  X*
13, 16.9, 509040, 342917, 39155, 26945, 9282, 26928, 24077, 5807, 43, 13, NA, 984151,  X*
14, 17.9, 181185, 8856, 4620, 9557, 1056, 4295, 1570, 1079, 67, 34, NA, 212218,  X*
15, 18.9, 743582, 146739, 47123, 40336, 18250, 28711, 8768, 17772, 50, 35, NA, 1051281,  X*
16, 19.9, 1487283, 356531, 25320, 31752, 20179, 19396, 11140, 2514, 40, 43, NA, 1954115,  X*
17, 20.9, 814296, 692543, 41031, 84875, 125141, 43066, 24321, 8062, 35, 40, NA, 1833335,  X*
18, 22.0, 185967, 20847, 1073, 6506, 5540, 2698, 1593, 721, 20, 27, NA, 224945,  X*
19, 22.9, 135013, 169325, 37728, 44585, 16240, 33981, 13481, 2889, 21, 26, NA, 453242,  X*
20, 23.9, 1657559, 80081, 8622, 34123, 16860, 11909, 14038, 2678, 37, 37, NA, 1825870,  X*
21, 24.9, 144538, 27500, 7212, 18842, 5569, 8756, 5967, 1394, 57, 48, NA, 219778,  X*
22, 25.9, 289336, 350883, 15957, 66262, 13896, 30588, 14676, 5388, 51, 48, NA, 786986,  X*
23, 26.9, 489753, 36064, 16791, 38397, 13855, 37094, 26667, 2268, 67, 51, NA, 660889,  X*
24, 27.9, 147420, 48345, 26599, 47281, 28394, 19274, 17303, 2661, 74, 57, NA, 337277,  X*
25, 28.9, 120147, 21873, 37071, 47516, 35344, 40129, 8788, 10717, 84, 63, NA, 321585,  X*
26, 29.9, 79629, 16132, 4287, 4329, 13198, 3420, 5347, 1391, 94, 64, NA, 127733,  X*
27, 31.0, 130424, 137331, 21817, 11807, 20335, 27471, 8095, 2797, 78, 53, NA, 360077,  X*
28, 31.9, 117259, 33946, 31017, 6086, 25956, 27477, 14760, 6376, 93, 48, NA, 262877,  X*
29, 32.9, 38552, 13696, 7931, 1947, 791, 2642, 915, 431, 70, 43, NA, 66905,  X*
30, 34.0, 993991, 50581, 87040, 130904, 48004, 31391, 8575, 6937, 69, 60, NA, 1357423,  X*
31, 34.9, 1503845, 589741, 163721, 80539, 55284, 48185, 26305, 10727, 51, 64, NA, 2478347,  X*
32, 35.9, 831134, 109512, 23813, 33940, 12155, 24302, 9684, 3721, 34, 64, NA, 1048261,  X*
33, 36.9, 428523, 30554, 8571, 30894, 32884, 26719, 15263, 6464, 54, 61, NA, 579872,  X*
34, 37.9, 385807, 38281, 2966, 14968, 6411, 5908, 7657, 868, 53, 48, NA, 462866,  X*
35, 38.9, 1502857, 141441, 6714, 36149, 11977, 25118, 19795, 4407, 67, 44, NA, 1748458,  X*
36, 39.9, 453412, 59898, 24881, 26426, 10342, 34002, 12929, 8245, 83, 47, NA, 630135,  X*
37, 40.9, 160119, 9441, 1348, 2163, 10378, 10626, 2096, 1034, 84, 35, NA, 197205,  X*
38, 41.9, 307349, 86995, 20966, 72200, 16019, 32598, 17128, 6912, 88, 41, NA, 560167,  X*
39, 42.9, 193284, 57018, 62217, 35763, 38726, 27024, 15707, 13255, 87, 51, NA, 442994,  X*
40, 43.9, 955661, 61919, 27549, 50704, 13432, 17767, 11384, 9045, 66, 54, NA, 1147461,  X*
41, 44.9, 374017, 94170, 6962, 60667, 12995, 17353, 13382, 7620, 40, 69, NA, 587166,  X*
42, 45.9, 97941, 29997, 11060, 15061, 1010, 4542, 3849, 1256, 27, 69, NA, 164716,  X*
43, 47.0, 99045, 14876, 11803, 10627, 3447, 9134, 4881, 1414, 30, 69, NA, 155227,  X*
44, 47.9, 74982, 6823, 8842, 5178, 3098, 5617, 2805, 1491, 41, 69, NA, 108836,  X*
45, 48.9, 306770, 118927, 66725, 32183, 16388, 26906, 6519, 3247, 41, 70, NA, 577665,  X*
46, 49.9, 477807, 9338, 7470, 7514, 5505, 4993, 4531, 1007, 54, 70, NA, 518165,  X*
47, 50.9, 177615, 17606, 12624, 25954, 3577, 6819, 3112, 907, 47, 78, NA, 248214,  X*
48, 51.9, 500628, 299777, 32675, 55055, 31736, 32554, 15027, 2333, 30, 66, NA, 969785,  X*
49, 52.9, 211801, 53224, 10926, 9911, 6133, 8154, 2796, 747, 29, 57, NA, 303692,  X*
50, 54.0, 92738, 31695, 24513, 13173, 22943, 40678, 20737, 7113, 43, 53, NA, 253590,  X*
51, 54.9, 453124, 106300, 61308, 19861, 25132, 21926, 8211, 11437, 41, 44, NA, 707299,  X*
52, 55.9, 1059295, 432320, 70934, 47759, 23879, 82544, 25477, 25744, 48, 43, NA, 1767952,  X*
53, 56.9, 82431, 85212, 43692, 18307, 29463, 38101, 18866, 22072, 61, 47, NA, 338144,  X*
54, 57.9, 115792, 15270, 5444, 6272, 3620, 8601, 3392, 1450, 54, 47, NA, 159841,  X*
55, 58.9, 158665, 17909, 10048, 24321, 4578, 6868, 4223, 1876, 56, 54, NA, 228488,  X*
56, 59.9, 152397, 22076, 2346, 24727, 3983, 6424, 4376, 924, 54, 66, NA, 217253,  X*
57, 60.9, 392410, 164926, 30228, 72144, 19234, 28782, 16281, 13124, 43, 67, NA, 737129,  X*
58, 61.9, 158198, 109132, 13918, 28881, 48522, 23542, 13949, 9066, 30, 63, NA, 405208,  X*
59, 63.0, 129874, 61344, 17051, 15181, 5006, 3721, 7009, 3572, 16, 54, NA, 242758,  X*
60, 63.9, 22987, 49364, 55645, 73800, 42726, 14269, 4381, 3078, 10, 57, NA, 266250,  X*
61, 64.9, 146841, 20794, 3141, 15302, 6108, 7143, 3375, 1456, 16, 57, NA, 204160,  X*
62, 65.9, 112946, 106941, 5442, 4453, 5130, 5363, 4046, 1087, 1, 50, NA, 245408,  X*
63, 66.9, 160248, 123057, 10084, 18387, 2645, 6320, 3235, 1573, 1, 41, NA, 325549,  X*
64, 67.9, 278188, 136933, 130812, 17437, 30267, 18701, 16799, 5586, 1, 38, NA, 634723,  X*
65, 68.9, 52405, 45636, 10693, 45230, 23869, 20754, 20978, 8056, 1, 40, NA, 227621,  X*
66, 69.9, 744870, 226504, 15084, 39263, 28519, 39910, 9285, 9490, 14, 47, NA, 1112925,  X*
67, 70.9, 85592, 15370, 543, 1859, 522, 3030, 1275, 221, 34, 41, NA, 108412,  X*
68, 71.9, 387451, 54503, 3321, 11142, 4575, 4372, 2587, 2895, 30, 29, NA, 470846,  X*
69, 72.9, 79290, 98549, 44948, 48372, 27277, 44353, 18589, 4285, 34, 29, NA, 365663,  X*
70, 73.9, 192359, 14673, 9718, 3408, 5933, 6220, 2489, 705, 40, 38, NA, 235505,  X*
71, 74.9, 38266, 28678, 7126, 10366, 6934, 7380, 1874, 1465, 40, 48, NA, 102089,  X*
72, 75.9, 303766, 64330, 14086, 43231, 14965, 34116, 12353, 4118, 61, 56, NA, 490965,  X*
73, 76.9, 655319, 127652, 9975, 34611, 11667, 14265, 10298, 5340, 48, 50, NA, 869127,  X*
74, 77.9, 138473, 36925, 1997, 15812, 12868, 21540, 16854, 2446, 54, 44, NA, 246915,  X*
75, 79.0, 1357303, 92100, 10053, 49463, 30395, 41098, 10778, 8048, 61, 43, NA, 1599238,  X*
76, 79.9, 129297, 22904, 6523, 10868, 2670, 9824, 3450, 1243, 60, 43, NA, 186779,  X*
77, 80.9, 86321, 31861, 5909, 6385, 9031, 5370, 2071, 1287, 64, 43, NA, 148235,  X*
78, 81.9, 367896, 20836, 87298, 97735, 12599, 47476, 10365, 6163, 57, 63, NA, 650368,  X*
79, 82.9, 278305, 8759, 3370, 4628, 6996, 5772, 4908, 1042, 60, 63, NA, 313780,  X*
80, 83.9, 107870, 141786, 22913, 34366, 19219, 24579, 14037, 3663, 50, 60, NA, 368433,  X*
81, 84.9, 1077895, 44763, 3500, 87960, 7243, 14771, 8198, 9784, 48, 74, NA, 1254114,  X*
82, 86.0, 339125, 33985, 41014, 15107, 14513, 29595, 12988, 2822, 54, 61, NA, 489149,  X*
83, 86.9, 117178, 77878, 15445, 74432, 37829, 27457, 15502, 5230, 44, 66, NA, 370951,  X*
84, 87.9, 1794871, 173660, 72545, 36812, 15303, 25737, 10980, 10329, 40, 69, NA, 2140237,  X*
85, 88.9, 81043, 17386, 7975, 11547, 5995, 9722, 2063, 479, 51, 63, NA, 136210,  X*
86, 89.9, 278189, 48282, 18153, 131864, 5344, 20902, 12066, 5770, 37, 74, NA, 520570,  X*
87, 90.9, 165480, 12225, 2405, 29641, 7024, 6804, 3103, 1099, 37, 80, NA, 227781,  X*
88, 91.9, 488048, 179688, 16156, 20570, 90977, 16772, 7347, 7275, 35, 66, NA, 826833,  X*
89, 92.9, 640838, 199498, 39881, 67789, 17106, 23831, 31354, 9330, 17, 64, NA, 1029627,  X*
90, 93.9, 72408, 37018, 7032, 46365, 34026, 16338, 8663, 8471, 26, 54, NA, 230321,  X*
91, 95.0, 125892, 14867, 4297, 7241, 4960, 6373, 1811, 1862, 30, 47, NA, 167303,  X*
92, 95.9, 53265, 32562, 11435, 7661, 6451, 2576, 4055, 2628, 26, 57, NA, 120633,  X*
93, 96.9, 1015733, 301508, 40239, 65948, 42837, 40793, 13555, 10033, 29, 53, NA, 1530646,  X*
94, 97.9, 923510, 96385, 13071, 89042, 31243, 21827, 28124, 10133, 21, 53, NA, 1213335,  X*
95, 98.9, 348935, 91922, 39047, 39534, 11582, 30395, 17106, 2741, 17, 54, NA, 581262,  X*
96, 99.9, 1051176, 121306, 129396, 27892, 33433, 27373, 8221, 8850, 24, 60, NA, 1407647,  X*
97, 100.9, 11254, 81299, 6073, 51818, 9029, 27359, 13844, 7919, 35, 64, NA, 208595,  X*
98, 101.9, 485976, 126066, 44809, 10765, 16989, 34603, 3587, 2839, 43, 60, NA, 725634,  X*
99, 102.9, 117769, 37533, 3137, 11452, 2689, 6187, 5220, 566, 38, 54, NA, 184553,  X*
100, 103.9, 1164735, 226869, 13299, 10050, 15867, 13231, 31571, 3155, 27, 35, NA, 1478777,  X*
101, 104.9, 267182, 38612, 4747, 11397, 4157, 8092, 4062, 2286, 24, 30, NA, 340535,  X*
102, 105.9, 1165654, 77388, 25746, 93662, 20455, 32026, 13352, 5097, 23, 40, NA, 1433380,  X*
103, 106.9, 122732, 23661, 6641, 15637, 8214, 9615, 3565, 416, 29, 43, NA, 190481,  X*
104, 107.9, 2491926, 46971, 32210, 65629, 42957, 85820, 10261, 3654, 63, 60, NA, 2779428,  X*
105, 108.9, 76806, 23610, 17633, 3452, 8560, 11092, 3860, 1381, 69, 63, NA, 146394,  X*
106, 109.9, 143390, 27979, 13120, 7684, 8483, 3804, 1747, 2024, 61, 60, NA, 208231,  X*
107, 111.0, 407986, 55596, 7858, 12098, 4131, 10735, 2114, 1001, 54, 53, NA, 501519,  X*
