obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 4.0, 845243, 61319, 246664, 76978, 74747, 40209, 37215, 21672, NA, NA, NA, 1404047,  X*
2, 5.0, 157062, 31046, 7803, 3284, 1805, 5913, 3874, 947, NA, NA, NA, 211734,  X*
3, 6.0, 36963, 64080, 12185, 14858, 34515, 21555, 31909, 7281, NA, NA, NA, 223346,  X*
4, 7.0, 98167, 29637, 7005, 18445, 6919, 18695, 22678, 16985, 51, 38, NA, 218531,  X*
5, 8.0, 1527454, 98280, 21152, 15214, 5661, 20442, 29719, 13671, 48, 30, NA, 1731593,  X*
6, 9.0, 107959, 27336, 8036, 11368, 15669, 34091, 12604, 11098, 70, 24, NA, 228161,  X*
7, 10.0, 5069, 15830, 3813, 6987, 25483, 20978, 20032, 5753, 94, 13, NA, 103945,  X*
8, 11.0, 947821, 57684, 11432, 10568, 14815, 18836, 22238, 8380, 87, 7, NA, 1091774,  X*
9, 12.0, 440451, 47198, 13317, 6098, 20775, 14551, 16296, 8693, 93, 4, NA, 567379,  X*
10, 13.0, 32198, 16352, 8885, 4970, 11448, 37399, 7321, 6764, 93, 3, NA, 125337,  X*
11, 14.0, 22645, 11790, 7028, 15118, 7854, 51996, 18184, 15162, 93, 8, NA, 149777,  X*
12, 15.0, 306926, 289533, 44768, 28016, 6754, 30625, 18128, 14429, 75, 8, NA, 739179,  X*
13, 16.0, 11811, 6166, 12967, 9419, 8791, 30104, 26734, 9900, 93, 14, NA, 115892,  X*
14, 17.0, 8437, 8612, 19769, 4206, 8013, 13324, 22420, 7767, 78, 27, NA, 92548,  X*
15, 18.0, 235957, 82931, 35129, 43721, 5127, 12256, 5864, 3731, 40, 38, NA, 424716,  X*
16, 19.0, 761901, 54741, 19608, 4146, 3858, 6028, 2361, 692, 38, 43, NA, 853335,  X*
17, 20.0, 56336, 60485, 7010, 18489, 11784, 6127, 4084, 1419, 1, 40, NA, 165734,  X*
18, 21.0, 7678, 31362, 12001, 3199, 9025, 12146, 5309, 1813, 1, 29, NA, 82533,  X*
19, 22.0, 185999, 10404, 1009, 867, 709, 427, 374, 244, 1, 13, NA, 200033,  X*
20, 23.0, 28784, 23458, 30464, 31162, 7311, 3607, 2770, 3439, 1, 29, NA, 130995,  X*
21, 24.0, 123915, 97033, 15422, 28521, 24567, 36910, 11392, 2372, 10, 27, NA, 340132,  X*
22, 25.0, 456397, 23272, 13402, 16858, 4175, 4106, 2998, 5757, 1, 40, NA, 526965,  X*
23, 26.0, 155964, 56282, 9143, 4818, 3780, 15323, 8248, 3055, 17, 41, NA, 256613,  X*
24, 27.0, 1639656, 205509, 52007, 62144, 33135, 45279, 12107, 10997, 34, 24, NA, 2060834,  X*
25, 28.0, 174979, 18955, 1070, 9102, 8823, 10732, 5725, 3206, 35, 24, NA, 232592,  X*
26, 29.0, 275417, 41033, 10700, 1948, 2922, 7181, 3584, 2819, 41, 11, NA, 345604,  X*
27, 30.0, 15090, 6634, 30571, 7613, 30513, 29241, 16468, 19578, 54, 23, NA, 155708,  X*
28, 31.0, 196484, 23929, 14519, 258, 3851, 8641, 5582, 3739, 60, 23, NA, 257003,  X*
29, 32.0, 1275746, 115581, 62194, 33724, 4758, 40918, 15147, 23500, 53, 30, NA, 1571568,  X*
30, 33.0, 677897, 112422, 34883, 8529, 29509, 55166, 19945, 13510, 64, 29, NA, 951861,  X*
31, 34.0, 1171038, 377243, 8731, 10261, 11002, 14498, 3647, 3862, 30, 11, NA, 1600282,  X*
32, 35.0, 28603, 6211, 1873, 4284, 4654, 3168, 3388, 2792, 30, 14, NA, 54973,  X*
33, 36.0, 15702, 47210, 18515, 2969, 4551, 2506, 2063, 1155, 13, 13, NA, 94671,  X*
34, 37.0, 33182, 31382, 20658, 6561, 24020, 18447, 8203, 2795, 13, 21, NA, 145248,  X*
35, 38.0, 72725, 17781, 29874, 12005, 17640, 15402, 6511, 4734, 37, 47, NA, 176672,  X*
36, 39.0, 121105, 6758, 2172, 1047, 2540, 3148, 978, 411, 40, 41, NA, 138159,  X*
37, 40.0, 33950, 46839, 4088, 8791, 23624, 8001, 7018, 3156, 56, 34, NA, 135467,  X*
38, 41.0, 286880, 10858, 342, 4192, 2772, 3785, 1737, 711, 53, 30, NA, 311277,  X*
39, 42.0, 180212, 20460, 5188, 4085, 3970, 2358, 1575, 226, 38, 23, NA, 218074,  X*
40, 43.0, 530654, 507131, 220656, 170749, 62601, 35616, 29629, 9819, 14, 29, NA, 1566855,  X*
41, 44.0, 286941, 22447, 17755, 3610, 4572, 5007, 3781, 805, 13, 43, NA, 344918,  X*
42, 45.0, 649590, 102373, 13111, 8553, 4931, 9448, 4560, 5497, 1, 40, NA, 798063,  X*
43, 46.0, 1815092, 813395, 137535, 59514, 17966, 51128, 26952, 17345, 1, 37, NA, 2938927,  X*
44, 47.0, 248427, 70116, 8726, 4729, 4527, 3854, 1388, 3889, 1, 24, NA, 345656,  X*
45, 48.0, 273764, 61955, 5030, 6548, 7072, 6201, 5695, 1688, 1, 11, NA, 367953,  X*
46, 49.0, 67695, 18343, 10627, 26033, 6978, 4605, 4218, 1161, 1, 29, NA, 139660,  X*
47, 50.0, 41335, 24069, 15389, 7529, 7952, 9185, 1076, 2235, 10, 37, NA, 108770,  X*
48, 51.0, 14448, 24024, 15021, 20931, 9968, 3947, 2767, 1533, 13, 51, NA, 92639,  X*
49, 52.0, 95230, 38509, 10309, 7033, 7470, 10867, 3216, 2092, 23, 57, NA, 174726,  X*
50, 53.0, 85666, 32379, 7414, 23663, 10783, 13419, 3848, 1151, 34, 51, NA, 178323,  X*
51, 54.0, 116279, 11376, 25995, 23107, 8936, 8862, 2498, 918, 30, 61, NA, 197971,  X*
52, 55.0, 55703, 24385, 11356, 9649, 9167, 8421, 3907, 1980, 43, 56, NA, 124568,  X*
53, 56.0, 606048, 91092, 32322, 53631, 8377, 5587, 8659, 4538, 23, 64, NA, 810254,  X*
54, 57.0, 203810, 60522, 5804, 11122, 2736, 2553, 3235, 1649, 1, 57, NA, 291431,  X*
55, 58.0, 236717, 97656, 27147, 22883, 12766, 31384, 31511, 9750, 7, 44, NA, 469814,  X*
56, 59.0, 111396, 36743, 2017, 930, 1600, 7982, 5111, 898, 8, 24, NA, 166677,  X*
57, 60.0, 251416, 12251, 5139, 3361, 779, 5302, 3214, 968, 29, 21, NA, 282430,  X*
