obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 3.9, 144749, 49294, 50601, 10505, 17276, 4189, 4343, 8625, NA, NA, NA, 289582,  X*
2, 4.9, 11467, 8263, 16823, 4684, 6660, 30396, 10059, 9169, NA, NA, NA, 97521,  X*
3, 5.9, 91651, 56337, 29044, 6734, 7884, 13003, 13023, 3721, NA, NA, NA, 221397,  X*
4, 6.9, 253946, 5795, 3323, 1253, 1657, 834, 666, 289, 37, 35, NA, 267763,  X*
5, 7.9, 316147, 77790, 7744, 19464, 18431, 17942, 11458, 4960, 38, 16, NA, 473936,  X*
6, 8.9, 139995, 66787, 23319, 19399, 13950, 15681, 7443, 8029, 38, 16, NA, 294603,  X*
7, 9.9, 1506442, 22964, 31692, 23697, 7639, 18331, 14648, 8707, 41, 40, NA, 1634120,  X*
8, 10.9, 23755, 59259, 4594, 7123, 13368, 16782, 8502, 2402, 48, 24, NA, 135785,  X*
9, 11.9, 86968, 51762, 1424, 3485, 7290, 4394, 2303, 2902, 43, 24, NA, 160528,  X*
10, 12.9, 271028, 39849, 8250, 2057, 4664, 6522, 3172, 699, 43, 23, NA, 336241,  X*
11, 13.9, 366547, 689456, 25395, 23675, 22426, 19538, 9717, 3442, 27, 1, NA, 1160196,  X*
12, 14.9, 340341, 32963, 15014, 7343, 2945, 8153, 3340, 715, 24, 10, NA, 410814,  X*
13, 15.9, 1350401, 288695, 48243, 65515, 41445, 14917, 4407, 5013, 20, 34, NA, 1818636,  X*
14, 16.9, 30541, 29619, 46147, 6620, 13920, 7044, 1877, 3257, 16, 56, NA, 139025,  X*
15, 17.9, 120161, 18387, 2469, 1015, 1667, 948, 693, 226, 20, 69, NA, 145566,  X*
16, 18.9, 2825289, 61656, 31215, 25568, 15395, 8502, 2458, 2014, 14, 75, NA, 2972097,  X*
17, 19.9, 43719, 9663, 6765, 11834, 5500, 12495, 4869, 6077, 30, 84, NA, 100922,  X*
18, 20.9, 369617, 209355, 4163, 28281, 46317, 14264, 21026, 6066, 29, 54, NA, 699089,  X*
19, 21.9, 890368, 286556, 41400, 15403, 4977, 12267, 6882, 895, 27, 56, NA, 1258748,  X*
20, 22.9, 148143, 53141, 7270, 26551, 17473, 11372, 4612, 2749, 30, 50, NA, 271311,  X*
21, 23.9, 225573, 19357, 3536, 5836, 3166, 3722, 891, 796, 23, 41, NA, 262877,  X*
22, 24.9, 52379, 191029, 33965, 12613, 32212, 13534, 2782, 3968, 23, 48, NA, 342482,  X*
23, 25.9, 97306, 15521, 4459, 1601, 2741, 1483, 862, 739, 27, 54, NA, 124712,  X*
24, 26.9, 903317, 86965, 53452, 33641, 13035, 15218, 3916, 4256, 24, 63, NA, 1113800,  X*
25, 27.9, 235410, 6752, 2328, 1408, 4285, 1260, 2023, 1958, 24, 60, NA, 255424,  X*
26, 28.9, 679043, 107444, 19708, 5634, 22459, 14574, 5965, 1974, 27, 57, NA, 856801,  X*
27, 29.9, 194850, 29722, 5592, 4259, 2861, 5544, 2440, 829, 34, 56, NA, 246097,  X*
28, 30.9, 168557, 52729, 119586, 18582, 21658, 41631, 14797, 12671, 40, 63, NA, 450211,  X*
29, 31.9, 150071, 18293, 5884, 4725, 4249, 6488, 5871, 892, 43, 66, NA, 196473,  X*
30, 32.9, 238328, 21012, 2960, 2248, 2869, 4217, 2306, 1428, 47, 66, NA, 275368,  X*
31, 33.9, 1599197, 207941, 33792, 14697, 16114, 28003, 20276, 5406, 44, 61, NA, 1925426,  X*
32, 34.9, 91280, 24346, 1392, 2164, 1094, 1284, 782, 375, 35, 29, NA, 122717,  X*
33, 35.9, 1941697, 107863, 7289, 21778, 17829, 11794, 5947, 6161, 27, 23, NA, 2120358,  X*
34, 36.9, 706735, 37216, 26796, 26592, 11203, 16088, 14595, 4441, 27, 43, NA, 843666,  X*
35, 37.9, 116674, 13813, 5697, 992, 8123, 3137, 2454, 509, 30, 50, NA, 151399,  X*
36, 38.9, 30718, 96926, 48330, 16949, 7695, 10189, 3612, 3780, 34, 70, NA, 218199,  X*
37, 39.9, 9463, 20138, 49106, 14070, 4372, 5148, 2627, 2832, 29, 94, NA, 107756,  X*
38, 40.9, 11264, 27762, 14189, 23365, 7679, 9852, 7412, 1582, 29, 90, NA, 103105,  X*
39, 41.9, 11333, 30312, 1732, 3292, 7861, 9677, 5873, 2682, 34, 75, NA, 72762,  X*
40, 42.9, 226925, 23312, 9637, 8813, 6377, 8501, 3776, 935, 41, 69, NA, 288276,  X*
41, 43.9, 103658, 11117, 1626, 364, 2810, 903, 560, 674, 43, 38, NA, 121712,  X*
42, 44.9, 24055, 13703, 31785, 18254, 17453, 13229, 1760, 2764, 44, 41, NA, 123003,  X*
43, 45.9, 262829, 59546, 9336, 8644, 10069, 3337, 2332, 1192, 34, 51, NA, 357285,  X*
44, 46.9, 1065586, 132020, 23149, 39517, 25692, 15041, 4848, 2281, 26, 48, NA, 1308134,  X*
45, 47.9, 170512, 70774, 13983, 15718, 12399, 9611, 5558, 2305, 27, 60, NA, 300860,  X*
46, 48.9, 131272, 161280, 78167, 46800, 27071, 9453, 2519, 3785, 14, 51, NA, 460347,  X*
47, 49.9, 2565378, 466186, 16628, 27128, 20828, 14662, 8885, 2433, 13, 38, NA, 3122128,  X*
48, 50.9, 16188, 9827, 29087, 33200, 3725, 18532, 3514, 1381, 21, 57, NA, 115454,  X*
49, 51.9, 5609, 7837, 2246, 13925, 5611, 5201, 2772, 2382, 27, 69, NA, 45583,  X*
50, 52.9, 32633, 32776, 8472, 13227, 7118, 14487, 4998, 4066, 43, 63, NA, 117777,  X*
51, 53.9, 644597, 104007, 10104, 17523, 44420, 39713, 29370, 6445, 60, 70, NA, 896179,  X*
52, 54.9, 49369, 15238, 21280, 22496, 36810, 11655, 11265, 5041, 56, 56, NA, 173154,  X*
53, 55.9, 29679, 29334, 16469, 4876, 21418, 6999, 2310, 1726, 53, 47, NA, 112811,  X*
54, 56.9, 16820, 36489, 56044, 27178, 8110, 9584, 2207, 2133, 44, 63, NA, 158565,  X*
55, 57.9, 173529, 130462, 8723, 42189, 32087, 6679, 5961, 2206, 29, 70, NA, 401836,  X*
56, 58.9, 404386, 73033, 10413, 49579, 18566, 21282, 6543, 6843, 27, 69, NA, 590645,  X*
57, 59.9, 111219, 14541, 559, 1393, 1527, 1733, 940, 461, 26, 56, NA, 132373,  X*
58, 60.9, 488626, 66486, 33935, 9473, 6804, 7534, 2349, 3511, 24, 43, NA, 618718,  X*
59, 61.9, 34702, 75502, 69138, 20653, 5085, 6750, 4128, 13761, 26, 57, NA, 229719,  X*
60, 62.9, 81783, 16951, 14360, 1303, 1987, 905, 1118, 759, 14, 63, NA, 119166,  X*
61, 63.9, 23300, 26102, 19753, 11761, 3658, 6946, 2971, 1659, 14, 88, NA, 96150,  X*
62, 64.9, 94361, 32529, 4736, 6923, 4709, 1440, 1104, 583, 11, 81, NA, 146385,  X*
63, 65.9, 28120, 49693, 13677, 40894, 6908, 9310, 5679, 2517, 16, 78, NA, 156798,  X*
64, 66.9, 35471, 134046, 32310, 17612, 19872, 8347, 15488, 3631, 21, 66, NA, 266777,  X*
65, 67.9, 29416, 18717, 22601, 6818, 17284, 15548, 5898, 1868, 29, 61, NA, 118150,  X*
66, 68.9, 29646, 38181, 3251, 11102, 22133, 11106, 11728, 8480, 43, 56, NA, 135627,  X*
67, 69.9, 9825, 58465, 8980, 24815, 7288, 15482, 5369, 7948, 48, 51, NA, 138172,  X*
68, 70.9, 17472, 26264, 31688, 9701, 6042, 10320, 8535, 5878, 56, 64, NA, 115900,  X*
69, 71.9, 14516, 61015, 12246, 8260, 20699, 15193, 8304, 5966, 51, 53, NA, 146199,  X*
70, 72.9, 131647, 220913, 665, 14289, 24232, 10416, 4022, 4194, 40, 38, NA, 410378,  X*
71, 73.9, 62023, 23749, 6779, 14276, 5846, 5508, 2827, 4171, 38, 41, NA, 125179,  X*
72, 74.9, 23371, 13764, 4933, 8550, 19905, 4675, 6434, 5064, 40, 27, NA, 86696,  X*
73, 75.9, 231531, 39325, 27421, 8214, 12421, 9707, 9814, 1555, 37, 38, NA, 339988,  X*
74, 76.9, 326388, 94835, 37211, 20950, 15009, 8213, 2705, 3065, 38, 63, NA, 508376,  X*
75, 77.9, 598423, 37936, 14082, 7403, 3169, 2901, 1520, 562, 29, 61, NA, 665996,  X*
76, 78.9, 147792, 11026, 1006, 897, 2023, 4309, 3925, 1018, 35, 47, NA, 171996,  X*
77, 79.9, 81612, 12087, 8979, 16824, 7975, 5285, 6159, 1241, 37, 54, NA, 140162,  X*
78, 80.9, 49007, 49692, 11173, 30044, 24934, 11341, 11405, 8872, 41, 54, NA, 196468,  X*
79, 81.9, 494430, 10270, 971, 2803, 1810, 5656, 2019, 968, 57, 44, NA, 518927,  X*
80, 82.9, 58796, 22329, 11293, 22637, 10635, 27533, 15869, 3180, 60, 64, NA, 172272,  X*
81, 83.9, 13197, 14219, 7753, 4379, 8416, 22011, 6504, 2699, 74, 50, NA, 79178,  X*
82, 84.9, 4833, 8664, 7015, 3739, 4749, 22875, 6832, 3814, 90, 43, NA, 62521,  X*
83, 85.9, 2057, 22573, 16059, 11024, 10780, 38853, 16178, 10895, 94, 50, NA, 128419,  X*
84, 86.9, 31456, 74113, 28544, 9713, 18432, 11613, 7402, 12109, 83, 44, NA, 193382,  X*
85, 87.9, 28816, 8563, 28173, 13324, 8743, 23463, 11724, 6517, 78, 61, NA, 129323,  X*
86, 88.9, 161791, 22505, 3085, 6257, 7774, 2567, 3046, 2106, 60, 60, NA, 209131,  X*
87, 89.9, 32032, 40226, 11992, 7641, 3745, 19020, 14826, 3175, 53, 56, NA, 132657,  X*
88, 90.9, 138941, 7941, 1144, 2317, 2351, 748, 896, 323, 50, 54, NA, 154661,  X*
89, 91.9, 1446702, 113072, 26593, 31248, 17608, 11013, 2536, 4420, 35, 44, NA, 1653192,  X*
90, 92.9, 1820091, 239167, 6038, 10043, 26632, 10523, 3536, 1459, 29, 26, NA, 2117489,  X*
91, 93.9, 82021, 36940, 9997, 2573, 1298, 1038, 1779, 1652, 10, 27, NA, 137298,  X*
92, 94.9, 120095, 40049, 7506, 2518, 2134, 1943, 1203, 709, 7, 23, NA, 176157,  X*
93, 95.9, 35485, 37325, 25030, 28475, 4824, 3904, 5831, 2095, 4, 37, NA, 142969,  X*
94, 96.9, 253895, 16565, 5221, 6202, 5167, 5486, 1657, 622, 16, 57, NA, 294815,  X*
95, 97.9, 109809, 21960, 4032, 3794, 1306, 723, 881, 1149, 16, 60, NA, 143654,  X*
96, 98.9, 234713, 149953, 25703, 21803, 11121, 6295, 5539, 2696, 14, 61, NA, 457823,  X*
97, 99.9, 830917, 319255, 51980, 26120, 35114, 35543, 13200, 5617, 20, 41, NA, 1317746,  X*
98, 100.9, 505638, 90928, 3569, 4832, 7166, 3761, 3955, 812, 8, 23, NA, 620661,  X*
99, 101.9, 78614, 118477, 48108, 30546, 16044, 6632, 10924, 4579, 10, 27, NA, 313924,  X*
100, 102.9, 65251, 162558, 24447, 32515, 20141, 8237, 1893, 1919, 11, 29, NA, 316961,  X*
101, 104.0, 70053, 50793, 15197, 10189, 12948, 4748, 4402, 3937, 8, 35, NA, 172267,  X*
102, 104.9, 76491, 37487, 27428, 10652, 8217, 7432, 9788, 2737, 14, 60, NA, 180232,  X*
103, 105.9, 343223, 42230, 29749, 6636, 3339, 8079, 569, 603, 24, 63, NA, 434428,  X*
104, 106.9, 70902, 15692, 28520, 25374, 6440, 6604, 1346, 1997, 29, 83, NA, 156875,  X*
105, 107.9, 167628, 19588, 5985, 2868, 3363, 1972, 1224, 414, 30, 83, NA, 203042,  X*
106, 108.9, 2159448, 190520, 54599, 20898, 26332, 19350, 4985, 6908, 27, 74, NA, 2483040,  X*
107, 109.9, 155306, 14017, 4529, 4741, 2857, 1422, 502, 484, 24, 70, NA, 183858,  X*
108, 110.9, 33259, 133369, 16979, 6816, 10455, 8650, 2880, 4089, 21, 43, NA, 216497,  X*
109, 111.9, 493235, 35913, 17045, 14428, 21211, 4014, 2651, 1367, 20, 47, NA, 589864,  X*
110, 112.9, 13281, 6113, 5166, 8360, 4106, 4013, 1786, 1609, 27, 60, NA, 44434,  X*
111, 113.9, 36872, 54064, 10590, 2864, 4837, 3698, 2403, 1701, 26, 50, NA, 117029,  X*
112, 114.9, 50182, 48639, 28266, 11890, 9700, 5010, 3381, 1126, 26, 64, NA, 158194,  X*
113, 115.9, 24934, 60991, 7936, 5527, 13441, 5299, 3615, 2080, 27, 51, NA, 123823,  X*
114, 116.9, 36076, 21333, 9972, 5620, 13203, 6321, 1859, 2252, 26, 41, NA, 96636,  X*
115, 117.9, 410691, 125720, 8957, 21774, 14009, 8695, 923, 963, 26, 41, NA, 591732,  X*
116, 118.9, 28768, 32283, 11975, 22093, 6096, 5052, 2005, 704, 27, 47, NA, 108976,  X*
117, 119.9, 8789, 53235, 33745, 5700, 4952, 4846, 1987, 2356, 26, 60, NA, 115610,  X*
118, 120.9, 103335, 65905, 44329, 29432, 4864, 6578, 4134, 2585, 16, 69, NA, 261162,  X*
119, 121.9, 2861220, 194554, 33093, 15135, 26037, 31125, 33057, 12090, 23, 67, NA, 3206311,  X*
120, 122.9, 1240457, 110818, 23057, 9146, 38808, 48870, 19195, 6844, 35, 50, NA, 1497195,  X*
121, 123.9, 716786, 182440, 16610, 20127, 17702, 24218, 17256, 4372, 40, 35, NA, 999511,  X*
122, 124.9, 103622, 62469, 50009, 27602, 2216, 4711, 2540, 3738, 38, 35, NA, 256907,  X*
123, 125.9, 105350, 42850, 19022, 18419, 15826, 16872, 8046, 9639, 41, 47, NA, 236024,  X*
124, 126.9, 9313, 17759, 33131, 10121, 18270, 39774, 11578, 3533, 47, 61, NA, 143479,  X*
